CountryName,CountryCode,IndicatorName,IndicatorCode,YYY,2013,2014,2015,2016,2017
Norway,NOR,"Armed forces personnel, total",MS.MIL.TOTL.P1,25800,25800,25800,24950,23950,23000
Nepal,NPL,"Armed forces personnel, total",MS.MIL.TOTL.P1,157750,157750,157750,158600,158600,112000
New Zealand,NZL,"Armed forces personnel, total",MS.MIL.TOTL.P1,8550,8500,8500,8950,9000,9000
OECD members,OED,"Armed forces personnel, total",MS.MIL.TOTL.P1,5785700,5691020,5615370,5464350,5478060,5459000
Oman,OMN,"Armed forces personnel, total",MS.MIL.TOTL.P1,47000,47000,47000,47000,47000,47000
Other small states,OSS,"Armed forces personnel, total",MS.MIL.TOTL.P1,135290,135310,135310,132430,148960,144000
Pakistan,PAK,"Armed forces personnel, total",MS.MIL.TOTL.P1,947800,947800,925800,935800,935800,936000
Panama,PAN,"Armed forces personnel, total",MS.MIL.TOTL.P1,12000,12000,12000,22050,22050,26000
Peru,PER,"Armed forces personnel, total",MS.MIL.TOTL.P1,192000,192000,158000,158000,158000,158000
Philippines,PHL,"Armed forces personnel, total",MS.MIL.TOTL.P1,165500,165500,165500,165500,165500,153000
Papua New Guinea,PNG,"Armed forces personnel, total",MS.MIL.TOTL.P1,1900,1900,1900,1900,3600,4000
Poland,POL,"Armed forces personnel, total",MS.MIL.TOTL.P1,172700,172700,172700,172700,178400,191000
Pre-demographic dividend,PRE,"Armed forces personnel, total",MS.MIL.TOTL.P1,2662350,2000100,2045650,2087100,1970980,1966000
"Korea, Dem. People?€?s Rep.",PRK,"Armed forces personnel, total",MS.MIL.TOTL.P1,1379000,1379000,1379000,1379000,1469000,1469000
Portugal,PRT,"Armed forces personnel, total",MS.MIL.TOTL.P1,90300,79850,78100,73600,74500,52000
Paraguay,PRY,"Armed forces personnel, total",MS.MIL.TOTL.P1,25450,25450,25450,25450,25450,27000
Post-demographic dividend,PST,"Armed forces personnel, total",MS.MIL.TOTL.P1,5019630,4835880,4829030,4829110,4842020,4755000
Qatar,QAT,"Armed forces personnel, total",MS.MIL.TOTL.P1,11800,11800,11800,11800,21500,22000
Romania,ROU,"Armed forces personnel, total",MS.MIL.TOTL.P1,151300,151300,151300,150400,149200,126000
Russian Federation,RUS,"Armed forces personnel, total",MS.MIL.TOTL.P1,1364000,1260000,1287000,1490000,1454000,1454000
Rwanda,RWA,"Armed forces personnel, total",MS.MIL.TOTL.P1,35000,35000,35000,35000,35000,35000
South Asia,SAS,"Armed forces personnel, total",MS.MIL.TOTL.P1,4616450,4629950,4586100,4698750,4924600,4940000
Saudi Arabia,SAU,"Armed forces personnel, total",MS.MIL.TOTL.P1,249000,251500,251500,251500,251500,252000
Sudan,SDN,"Armed forces personnel, total",MS.MIL.TOTL.P1,264300,264300,264300,264300,124300,124000
Senegal,SEN,"Armed forces personnel, total",MS.MIL.TOTL.P1,18600,18600,18600,18600,18600,19000
Singapore,SGP,"Armed forces personnel, total",MS.MIL.TOTL.P1,147600,147600,147600,147600,147600,81000
Sierra Leone,SLE,"Armed forces personnel, total",MS.MIL.TOTL.P1,10500,10500,8500,8500,8500,9000
El Salvador,SLV,"Armed forces personnel, total",MS.MIL.TOTL.P1,32300,32300,41500,41500,41500,42000
Somalia,SOM,"Armed forces personnel, total",MS.MIL.TOTL.P1,20000,11000,17000,19800,19800,20000
Serbia,SRB,"Armed forces personnel, total",MS.MIL.TOTL.P1,28150,28150,28150,28150,31850,32000
Sub-Saharan Africa (excluding high income),SSA,"Armed forces personnel, total",MS.MIL.TOTL.P1,1859970,1845070,1886170,1915470,1795700,1790000
South Sudan,SSD,"Armed forces personnel, total",MS.MIL.TOTL.P1,210000,185000,185000,185000,185000,185000
Sub-Saharan Africa,SSF,"Armed forces personnel, total",MS.MIL.TOTL.P1,1860810,1845910,1887010,1916310,1796540,1790000
Small states,SST,"Armed forces personnel, total",MS.MIL.TOTL.P1,151300,151870,154790,152360,169390,165000
Suriname,SUR,"Armed forces personnel, total",MS.MIL.TOTL.P1,1840,1940,1940,1940,1940,2000
Slovak Republic,SVK,"Armed forces personnel, total",MS.MIL.TOTL.P1,15850,15850,15850,15850,15850,16000
Slovenia,SVN,"Armed forces personnel, total",MS.MIL.TOTL.P1,13550,13550,13550,13200,13200,7000
Sweden,SWE,"Armed forces personnel, total",MS.MIL.TOTL.P1,16100,16100,30550,30550,30550,30000
Seychelles,SYC,"Armed forces personnel, total",MS.MIL.TOTL.P1,840,840,840,840,840,0
Syrian Arab Republic,SYR,"Armed forces personnel, total",MS.MIL.TOTL.P1,178000,178000,280500,277500,307500,239000
Chad,TCD,"Armed forces personnel, total",MS.MIL.TOTL.P1,34850,34850,39850,39850,39850,35000
East Asia & Pacific (IDA & IBRD countries),TEA,"Armed forces personnel, total",MS.MIL.TOTL.P1,5801730,5802030,5802030,5652030,5505730,5498000
Europe & Central Asia (IDA & IBRD countries),TEC,"Armed forces personnel, total",MS.MIL.TOTL.P1,3182430,2978830,3102830,3256100,3250650,3247000
Togo,TGO,"Armed forces personnel, total",MS.MIL.TOTL.P1,9300,9300,9300,9300,9300,10000
Thailand,THA,"Armed forces personnel, total",MS.MIL.TOTL.P1,453550,453550,453550,454550,454550,455000
Tajikistan,TJK,"Armed forces personnel, total",MS.MIL.TOTL.P1,16300,16300,16300,16300,16300,17000
Turkmenistan,TKM,"Armed forces personnel, total",MS.MIL.TOTL.P1,22000,22000,36500,36500,41500,42000
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Armed forces personnel, total",MS.MIL.TOTL.P1,2394004,2407183,2544540,2580190,2605220,2678000
Timor-Leste,TLS,"Armed forces personnel, total",MS.MIL.TOTL.P1,1330,1330,1330,1330,1330,2000
Middle East & North Africa (IDA & IBRD countries),TMN,"Armed forces personnel, total",MS.MIL.TOTL.P1,3343050,2718250,2727250,2724250,2754400,2707000
South Asia (IDA & IBRD),TSA,"Armed forces personnel, total",MS.MIL.TOTL.P1,4616450,4629950,4586100,4698750,4924600,4940000
Sub-Saharan Africa (IDA & IBRD countries),TSS,"Armed forces personnel, total",MS.MIL.TOTL.P1,1860810,1845910,1887010,1916310,1796540,1790000
Trinidad and Tobago,TTO,"Armed forces personnel, total",MS.MIL.TOTL.P1,4050,4050,4050,4050,4050,4000
Tunisia,TUN,"Armed forces personnel, total",MS.MIL.TOTL.P1,47800,47800,47800,47800,47800,48000
